episode,reward,success,epsilon,ep_avg_loss,buffer_size
42,-236.83000000000004,0,0.9588496310845509,7.506330057828113,3947
43,-161.02,0,0.9578907814534664,8.034860046103944,4033
44,-198.03000000000003,0,0.9569328906720129,7.55206248609499,4120
45,-206.76999999999995,0,0.9559759577813409,7.510454870918964,4214
46,-196.78999999999996,0,0.9550199818235596,9.206426302591959,4304
47,-247.35000000000002,0,0.9540649618417361,7.781352163541435,4405
48,-199.67,0,0.9531108968798944,7.196912563918682,4494
49,-174.71999999999997,0,0.9521577859830145,5.821379071899822,4578
50,-237.49999999999983,0,0.9512056281970315,6.016714211514121,4673
51,-148.91999999999996,0,0.9502544225688344,4.608430976026199,4758
52,-209.71999999999997,0,0.9493041681462656,9.162589208285015,4848
53,-230.99000000000004,0,0.9483548639781193,8.009314265022887,4942
54,-231.58999999999992,0,0.9474065091141411,3.3645289254685244,5038
55,-161.66999999999996,0,0.946459102605027,4.897982153154555,5122
56,-195.38000000000002,0,0.9455126435024219,6.154533133078157,5211
57,-207.02999999999997,0,0.9445671308589195,6.701155769955981,5302
58,-253.63999999999993,0,0.9436225637280606,5.544514660407039,5405
59,-163.41999999999996,0,0.9426789411643326,4.92714592433253,5491
60,-211.26000000000005,0,0.9417362622231683,5.595794294425782,5585
61,-171.66999999999996,0,0.9407945259609451,3.828165752250095,5671
62,-205.1399999999999,0,0.9398537314349842,3.7462632715702058,5761
63,-165.89999999999998,0,0.9389138777035492,2.84425816933314,5848
64,-237.8099999999999,0,0.9379749638258457,2.356996197675921,5945
65,-118.61999999999999,0,0.9370369888620198,3.8401492139961144,6024
66,-143.81,0,0.9360999518731578,3.6898168531202136,6108
67,-166.75999999999993,0,0.9351638519212846,3.656790311847414,6192
68,-194.77,0,0.9342286880693633,6.088477956586414,6282
69,-171.77,0,0.933294459381294,4.011176477337992,6368
70,-149.78999999999996,0,0.9323611649219127,4.257108353867251,6453
71,-208.58,0,0.9314288037569908,3.323751091622235,6542
72,-204.40000000000003,0,0.9304973749532338,3.5530124829056557,6631
73,-247.85999999999993,0,0.9295668775782806,2.9833934980890024,6723
74,-209.70000000000005,0,0.9286373107007023,4.547266578071572,6812
75,-235.26999999999987,0,0.9277086733900016,3.651356795462229,6905
76,-212.26999999999992,0,0.9267809647166116,6.246953225397801,6996
77,-238.7000000000001,0,0.925854183751895,4.423001012544042,7093
78,-179.37,0,0.9249283295681431,2.3216430859619313,7182
79,-197.03000000000003,0,0.9240034012385749,4.547630334677904,7274
80,-215.50999999999993,0,0.9230793978373364,3.1979294690820907,7364
81,-152.87,0,0.9221563184394991,5.498969712271923,7446
82,-171.39999999999998,0,0.9212341621210596,2.4476833990935623,7533
83,-174.21999999999997,0,0.9203129279589385,2.3065980851650236,7618
84,-226.70999999999992,0,0.9193926150309796,2.6141676385986043,7712
85,-152.96,0,0.9184732224159486,2.0272113706280543,7794
86,-173.32,0,0.9175547491935327,2.583644553341649,7882
87,-137.34,0,0.9166371944443392,2.3484918165665407,7960
88,-197.51999999999998,0,0.9157205572498949,2.1620938806457723,8054
89,-163.03999999999996,0,0.914804836692645,3.4775250252427123,8136
90,-180.53999999999996,0,0.9138900318559524,2.4331483643376424,8225
91,-213.0999999999999,0,0.9129761418240965,1.6624868902895185,8315
92,-204.4099999999999,0,0.9120631656822724,3.5288806999883344,8408
93,-151.65,0,0.9111511025165902,1.5483970884666887,8494
94,-184.56000000000006,0,0.9102399514140735,3.872888750427372,8585
95,-165.39999999999998,0,0.9093297114626595,2.400836718224344,8669
96,-215.97,0,0.9084203817511969,2.385392371079196,8761
97,-212.17999999999995,0,0.9075119613694457,3.1861853263070508,8854
98,-177.91999999999996,0,0.9066044494080763,3.157325239005414,8942
