episode,reward,avg_team_return,success,epsilon,ep_avg_loss,buffer_size,steps,collisions,waypoints_visited
49,191.20999765396118,191.20999765396118,0,0.9615432930752087,3.703241637644877,51596,262,0,6
50,447.31999683380127,447.31999683380127,0,0.9607740584407485,3.764907710135929,52604,252,0,8
51,415.9500030875206,415.9500030875206,0,0.9600054391939958,3.7375858662692645,53652,262,4,8
52,219.05000188946724,219.05000188946724,0,0.9592374348426406,3.777048872244404,54688,259,22,7
53,-45.48999434709549,-45.48999434709549,0,0.9584700448947664,3.780264213681221,55808,280,1,4
54,467.0200001001358,467.0200001001358,0,0.9577032688588506,3.8439276524554895,56836,257,0,8
55,265.3099897503853,265.3099897503853,0,0.9569371062437635,3.77624951788794,57928,273,11,8
56,217.77999418973923,217.77999418973923,0,0.9561715565587685,3.784369310626277,59008,270,6,7
57,281.82999193668365,281.82999193668365,0,0.9554066193135214,3.7963948557153344,60032,256,3,6
58,81.78000044822693,81.78000044822693,0,0.9546422940180707,3.817349951811944,61100,267,0,5
59,270.64999118447304,270.64999118447304,0,0.9538785801828562,3.666379262816231,62160,265,6,7
60,458.2900043129921,458.2900043129921,0,0.9531154773187099,3.7654089014485197,63220,265,10,9
61,310.9700023531914,310.9700023531914,0,0.9523529849368549,3.8757953445866424,64280,265,3,7
62,442.62000212073326,442.62000212073326,0,0.9515911025489054,3.7688904182855474,65312,258,6,8
63,478.98000633716583,478.98000633716583,0,0.9508298296668662,3.7077287563764716,66316,251,12,8
64,364.57000309228897,364.57000309228897,0,0.9500691658031327,3.723994588758063,67332,254,0,7
65,501.7199893593788,501.7199893593788,0,0.9493091104704902,3.6923462815249146,68404,268,0,9
66,489.5600142478943,489.5600142478943,0,0.9485496631821138,3.7283883846723116,69444,260,2,9
67,301.66000521183014,301.66000521183014,0,0.9477908234515681,3.711763266609748,70432,247,6,7
