episode,reward,success,alpha,ep_avg_actor_loss,ep_avg_critic_loss,buffer_size,total_steps
52,406.0333429631124,1,0.2805846929550171,-42.98035426975525,425.8677251560172,11644,11644
53,572.3267412930006,1,0.2822829484939575,-44.24157856672238,343.5037741172008,11722,11722
54,531.885640356419,1,0.2834743559360504,-45.277334536038914,394.45084995123057,11852,11852
55,582.0704429839519,1,0.2841765284538269,-46.268586354712916,425.1417025213372,11925,11925
56,543.6898051915682,1,0.28598883748054504,-47.68503139637135,379.66048984174375,12033,12033
57,201.2016014267091,1,0.2902213931083679,-49.05860082308451,410.7957099755605,12273,12273
58,-318.5330902090739,0,0.2911537289619446,-51.94896145870811,351.7746085646557,12615,12615
59,-318.0509094520657,0,0.2966350317001343,-55.22418439388275,333.8612905740738,12967,12967
60,592.9072350361516,1,0.29543089866638184,-56.92415703044218,290.1658458148732,13035,13035
61,539.2371426956537,1,0.29538440704345703,-57.98650519053141,316.9266604582469,13107,13107
62,483.728482015038,1,0.29488080739974976,-58.47465807596843,368.43560148874917,13197,13197
63,483.70090773222773,1,0.29744645953178406,-60.11543002818365,355.7277155702219,13356,13356
64,546.0079061260866,1,0.29818832874298096,-61.176068496704104,313.79196857452393,13456,13456
65,569.5947573724834,1,0.29832103848457336,-62.34664978519563,314.1272260399275,13549,13549
66,606.1569112598612,1,0.29938045144081116,-63.31218349572384,269.9707847364021,13615,13615
67,601.1996760302704,1,0.3008374273777008,-63.78794997930527,367.35577642917633,13679,13679
68,583.7388984032995,1,0.30225175619125366,-65.24338459968567,354.6041050553322,13743,13743
69,587.7357551096216,1,0.3045266270637512,-65.5566038278433,256.46672741816593,13808,13808
70,592.462725600478,1,0.3057282269001007,-66.49061892109532,288.6330240926435,13870,13870
71,600.357167136596,1,0.3081740736961365,-67.54742978966755,312.04937058600825,13939,13939
72,597.3579427138917,1,0.3103516399860382,-67.4445918855213,289.8939325847323,14002,14002
73,413.56221851644307,1,0.31560489535331726,-69.7534301685837,284.2661927421138,14108,14108
