episode,reward,avg_team_return,success,epsilon,ep_avg_loss,buffer_size,steps,collisions,waypoints_visited,greedy_reward,greedy_success,greedy_waypoints_visited
41,618.040002644062,618.040002644062,0,0.9677193833158024,nan,9595,234,4,7,nan,,
42,403.94000166654587,403.94000166654587,0,0.9669452078091497,nan,9829,234,0,5,nan,,
43,503.97999757528305,503.97999757528305,0,0.9661716516429024,0.016578303009737283,10063,234,0,6,nan,,
44,615.2000009417534,615.2000009417534,0,0.9653987143215881,0.01349906004191834,10297,234,6,7,nan,,
45,593.5699890851974,593.5699890851974,0,0.9646263953501308,0.01342362692130023,10531,234,0,7,nan,,
46,515.6199949979782,515.6199949979782,0,0.9638546942338507,0.01393494850529705,10765,234,2,6,nan,,
47,688.399996817112,688.399996817112,0,0.9630836104784636,0.011618131731540478,10999,234,0,8,nan,,
48,411.3499968647957,411.3499968647957,0,0.9623131435900808,0.012227354038475175,11233,234,0,5,nan,,
49,711.0200077295303,711.0200077295303,0,0.9615432930752087,0.011670708840969822,11467,234,6,8,nan,,
50,713.1499974727631,713.1499974727631,0,0.9607740584407485,0.011985220630668987,11701,234,2,8,nan,,
51,407.4900040626526,407.4900040626526,0,0.9600054391939958,0.0120322170651293,11935,234,0,5,nan,,
52,491.3099944591522,491.3099944591522,0,0.9592374348426406,0.01203475603281315,12170,235,12,6,nan,,
53,491.94999730587006,491.94999730587006,0,0.9584700448947664,0.01148552021358983,12404,234,0,6,nan,,
54,415.8999951481819,415.8999951481819,0,0.9577032688588506,0.01103109720259391,12638,234,0,5,nan,,
55,397.0599948167801,397.0599948167801,0,0.9569371062437635,0.010764972054225913,12872,234,0,5,nan,,
56,713.2100096344948,713.2100096344948,0,0.9561715565587685,0.010309066213988539,13106,234,0,8,nan,,
57,594.5099958777428,594.5099958777428,0,0.9554066193135214,0.01089238899491601,13340,234,0,7,nan,,
58,611.1800090074539,611.1800090074539,0,0.9546422940180707,0.010451443272578562,13574,234,0,7,nan,,
59,488.7399936914444,488.7399936914444,0,0.9538785801828562,0.010684404269618503,13808,234,0,6,nan,,
60,505.5700058937073,505.5700058937073,0,0.9531154773187099,0.0104587040761293,14042,234,4,6,nan,,
61,594.7400010824203,594.7400010824203,0,0.9523529849368549,0.010756169398457317,14276,234,0,7,nan,,
62,69.85999459028244,69.85999459028244,0,0.9515911025489054,0.010254331743986956,14510,234,14,2,nan,,
63,691.7100049853325,691.7100049853325,0,0.9508298296668662,0.009373226068850797,14745,235,8,8,nan,,
64,704.4499958157539,704.4499958157539,0,0.9500691658031327,0.010085254417860815,14979,234,0,8,nan,,
65,1179.5600004792213,1179.5600004792213,1,0.9493091104704902,0.009708131911193437,15166,187,0,10,nan,,
