episode,reward,success,alpha,ep_avg_actor_loss,ep_avg_critic_loss,buffer_size,total_steps
45,601.656901839628,1,0.4311976134777069,-83.93955258969908,347.04830565275967,4883,4883
46,496.25267460624707,1,0.4364176392555237,-83.88088715382112,357.4124493721204,4922,4922
47,587.1558494682428,1,0.44159847497940063,-85.85849139564915,292.47798578362716,4960,4960
48,600.5907009333944,1,0.44573643803596497,-87.5964408085264,392.39402797304353,4989,4989
49,590.07189087203,1,0.44984060525894165,-88.39640955771169,410.09329642018963,5020,5020
50,602.1390592519156,1,0.4530348479747772,-90.40692578829251,330.8411521911621,5046,5046
51,0.5222838552088902,0,0.4664163887500763,-91.97254317661502,323.6633447611107,5152,5152
52,578.6555446585045,1,0.4709935486316681,-94.87322447035048,310.92945035298663,5188,5188
53,597.2399192496159,1,0.4753597378730774,-95.6285171508789,286.30795947925463,5225,5225
54,599.9397713935267,1,0.47941988706588745,-96.78131914138794,258.53876519203186,5257,5257
55,601.8466625953562,1,0.4827861487865448,-97.96457726614815,290.2024963923863,5285,5285
56,602.5666510890737,1,0.4857463538646698,-99.86004345233624,331.3495233975924,5311,5311
57,589.7370071717971,1,0.4896942973136902,-100.46479868888855,327.185560464859,5343,5343
58,601.059366549293,1,0.4934433400630951,-102.87445551554362,297.8145004272461,5373,5373
59,601.6943578068572,1,0.49714216589927673,-103.94349343436105,294.25054114205494,5401,5401
60,600.7881812640389,1,0.5008717775344849,-105.09154561360677,264.20870513916014,5431,5431
61,600.4329420480935,1,0.5048964023590088,-105.43567977413055,276.9626199045489,5462,5462
62,465.11476733932426,1,0.5106841325759888,-107.28535721518777,300.6064484336159,5506,5506
63,602.1433934411511,1,0.5144360065460205,-109.62736599261945,260.36089794452374,5532,5532
64,602.4144576680951,1,0.5179460048675537,-110.52673105093149,294.9800409170297,5558,5558
65,602.1163957136037,1,0.5216807723045349,-110.05324906569261,270.4276252159706,5584,5584
66,579.7917706785178,1,0.5260087251663208,-111.57671022415161,239.8736960887909,5616,5616
67,602.4538270232223,1,0.5297480821609497,-113.91937408447265,249.41702117919922,5641,5641
68,581.1327687116387,1,0.5340476632118225,-114.35460942586263,235.11391830444336,5671,5671
69,559.8069700478245,1,0.5387293696403503,-117.03714530698714,277.1296659900296,5702,5702
70,590.8190318413374,1,0.5425300002098083,-116.51382039388021,246.74010111490887,5732,5732
71,591.6597576093293,1,0.5487385988235474,-118.09297242456553,250.75422543895488,5781,5781
72,595.3693273408912,1,0.5544335246086121,-120.35853948825743,247.2658750952744,5822,5822
73,475.2546899953766,1,0.5604848265647888,-122.35722262360329,248.17580608988916,5865,5865
